EXR,TIME,FED,CPI,GDP
7.59095964394517,2004-04-01,1.996667,0.4059443,0.385676808
7.49042126513636,2004-07-01,1.993333,0.5587666,0.812692771
6.95313946738023,2004-10-01,1.993333,0.4773926,0.817086639
6.92766778869286,2005-01-01,1.98,0.264788,0.445697357
7.31984219443001,2005-04-01,1.846667,0.2957733,0.658152121
7.6790865305974,2005-07-01,1.476667,0.5245925,1.202108377
7.96888770305195,2005-10-01,1.563333,0.7263807,0.673629166
7.77200262909717,2006-01-01,1.906667,0.7815114,1.545647758
7.39745826729618,2006-04-01,2.123333,1.52207,1.63346237
7.24306740852174,2006-07-01,2.416667,1.590528,1.194620768
7.0807003221912,2006-10-01,2.88,1.542772,0.658532186
7.00754884681087,2007-01-01,3.253333,1.945742,0.946750369
6.86882127753899,2007-04-01,3.396667,1.810813,0.520087398
6.73850946327471,2007-07-01,3.576667,1.941236,0.793542032
6.41604109584315,2007-10-01,3.983333,3.142282,1.130404646
6.27440289363837,2008-01-01,4.186666,3.236837,-0.79879234
5.99063535388528,2008-04-01,4.14,3.794206,-0.043451843
6.31794262500784,2008-07-01,4.41,4.283747,-0.490682073
7.80543913043478,2008-10-01,2.883333,2.448302,-3.563973456
8.41408787878788,2009-01-01,0.8666667,0.7897524,-1.47032483
7.91143152958153,2009-04-01,0.3866667,-0.5808025,0.066898193
7.27851976284585,2009-07-01,0.1633333,-1.41659,-0.052475129
7.0063796348579,2009-10-01,0.1766667,-0.7415079,0.457207602
7.18774382332643,2010-01-01,0.2166667,0.6840817,2.660518924
7.58069437229437,2010-04-01,0.28,0.9275776,2.087393064
7.25477272727273,2010-07-01,0.4533333,1.12544,1.235741926
6.7855560260995,2010-10-01,1.066667,1.890374,1.548930814
6.4814746031746,2011-01-01,1.656667,2.612267,0.394210107
6.25738816738817,2011-04-01,1.853333,3.254242,0.341320099
6.47576121463078,2011-07-01,1.696667,3.316662,1.302071548
6.74212842712843,2011-10-01,1.423333,2.66366,-1.436101316
6.74664242424242,2012-01-01,1.546667,1.762453,0.209835847
6.94453968253968,2012-04-01,1.353333,1.115818,0.137935974
6.74056844532279,2012-07-01,1.096667,0.6219477,-0.114798663
6.64398660518226,2012-10-01,1.016667,0.07003693,-0.754817855
6.43279641131815,2013-01-01,0.97,-0.05634881,1.422579977
6.55404059163059,2013-04-01,0.93,-0.2761408,-0.092089231
6.55205609511262,2013-07-01,0.9166667,0.09027284,0.4565154
6.5131283361566,2013-10-01,0.8866667,0.06574622,0.656207355
6.46594733954451,2014-01-01,0.73,-0.3478575,0.878607612
6.59864567099567,2014-04-01,0.6466666,0.008487524,0.805984647
6.94602669238974,2014-07-01,0.2233333,-0.1665889,0.72050139
7.42890014492754,2014-10-01,0.08333334,-0.213005,0.752340819
8.32276954545455,2015-01-01,-0.006666667,0.01067498,1.430297536
8.41710642135642,2015-04-01,-0.2833333,-0.2026224,0.995424104
8.47929306731915,2015-07-01,-0.4733333,-0.06058223,1.377709558
8.49813185896229,2015-10-01,-0.3933333,0.06584327,0.738172107
8.45358364389234,2016-01-01,-0.5166667,0.6511042,-0.055222254
8.20936847041847,2016-04-01,-0.6066667,0.8142613,0.053795336
8.52178310433528,2016-07-01,-0.72,1.033713,0.292842439
9.04107763347763,2016-10-01,-0.7766666,1.435925,0.882175142
8.92444273386034,2017-01-01,-0.6966667,1.478308,0.493638361
8.80615161396574,2017-04-01,-0.64,1.77775,1.279074922
8.13874403036577,2017-07-01,-0.73,2.154691,0.906201059
8.31878434343434,2017-10-01,-0.7133333,1.765051,0.201823679
8.1109081884058,2018-01-01,-0.67,1.696084,0.419163785
8.66681180124224,2018-04-01,-0.6833333,1.89899,1.00038993
8.94733002635046,2018-07-01,-0.6933333,2.123669,-0.80707214
9.03659807076981,2018-10-01,-0.6966667,2.091194,1.314728238
9.17459873706004,2019-01-01,-0.4133333,1.873317,0.609857411
9.44293496047431,2019-04-01,-0.4,2.028305,0.504056431
9.58995796474057,2019-07-01,-0.4133333,1.517506,0.159612538
9.61604697910785,2019-10-01,-0.4566667,1.721065,0.436567335
9.66311238471673,2020-01-01,-0.1566667,0.9915571,-0.076791524
9.69111031746031,2020-04-01,-0.13,0.111606,-8.237171384
8.86730283267457,2020-07-01,-0.11,0.5734788,7.374891001
8.61739439425309,2020-10-01,-0.1433333,0.3197767,0.088641156
8.38766695307108,2021-01-01,-0.1466667,1.542149,1.453311461
8.41723759018759,2021-04-01,-0.1533333,1.799632,0.56177985
8.64810757575757,2021-07-01,-0.1633333,1.981402,1.772230218
8.85477255473995,2021-10-01,-0.3133333,3.318826,2.218329426
9.33250801932367,2022-01-01,-0.1733333,4.650614,-0.438491368
9.8243953102453,2022-04-01,0.24,7.436958,0.336173353
10.5470502854634,2022-07-01,1.14,9.723245,0.180865262
