DATE,CCUSMA02SEQ618N
1960-01-01,5.17893333333333
1960-04-01,5.16680666666667
1960-07-01,5.16022666666667
1960-10-01,5.16760666666667
1961-01-01,5.16938666666667
1961-04-01,5.16378
1961-07-01,5.16778333333333
1961-10-01,5.16849333333333
1962-01-01,5.15961
1962-04-01,5.14685666666667
1962-07-01,5.14844666666667
1962-10-01,5.168
1963-01-01,5.18430666666667
1963-04-01,5.18995666666667
1963-07-01,5.18708333333333
1963-10-01,5.19373
1964-01-01,5.17319666666667
1964-04-01,5.13857
1964-07-01,5.13980333333333
1964-10-01,5.15367333333333
1965-01-01,5.13681
1965-04-01,5.15341
1965-07-01,5.16893666666667
1965-10-01,5.17375
1966-01-01,5.16627333333333
1966-04-01,5.15765333333333
1966-07-01,5.16751
1966-10-01,5.26705666666667
1967-01-01,5.16733666666667
1967-04-01,5.15366666666667
1967-07-01,5.15579
1967-10-01,5.1717
1968-01-01,5.166
1968-04-01,5.16849333333333
1968-07-01,5.16431333333333
1968-10-01,5.17411
1969-01-01,5.17188
1969-04-01,5.17116666666667
1969-07-01,5.17134333333333
1969-10-01,5.16609
1970-01-01,5.1821
1970-04-01,5.19643
1970-07-01,5.18916
1970-10-01,5.17724
1971-01-01,5.16654
1971-04-01,5.16395666666667
1971-07-01,5.12201333333333
1971-10-01,4.98
1972-01-01,4.80266666666667
1972-04-01,4.765
1972-07-01,4.735
1972-10-01,4.747
1973-01-01,4.57937591181192
1973-04-01,4.37681696108558
1973-07-01,4.11693910030968
1973-10-01,4.34332000488754
1974-01-01,4.67299218815397
1974-04-01,4.34447711518538
1974-07-01,4.42076637730535
1974-10-01,4.29516162799749
1975-01-01,3.97753856081798
1975-04-01,3.93862004927634
1975-07-01,4.29257131051007
1975-10-01,4.39367210792754
1976-01-01,4.38343761430511
1976-04-01,4.42386452491414
1976-07-01,4.40770501077273
1976-10-01,4.21148266077994
1977-01-01,4.22273600429279
1977-04-01,4.37028329259064
1977-07-01,4.55206735991198
1977-10-01,4.77752948139211
1978-01-01,4.63432656923246
1978-04-01,4.6204269155425
1978-07-01,4.4656614504127
1978-10-01,4.34685966349543
1979-01-01,4.35956636267121
1979-04-01,4.37277218177527
1979-07-01,4.21143496500611
1979-10-01,4.20315845070336
1980-01-01,4.22118507116522
1980-04-01,4.24499516492232
1980-07-01,4.15243432703516
1980-10-01,4.29824784660672
1981-01-01,4.55282897080952
1981-04-01,4.8758538526713
1981-07-01,5.29980135642903
1981-10-01,5.51081999850439
1982-01-01,5.73612234349348
1982-04-01,5.90479240207807
1982-07-01,6.15587367576364
1982-10-01,7.33220090209117
1983-01-01,7.4083401048926
1983-04-01,7.5376828596806
1983-07-01,7.80714720806277
1983-10-01,7.91545660533333
1984-01-01,7.9680881421075
1984-04-01,8.00701899143384
1984-07-01,8.41202147075909
1984-10-01,8.70535685732896
1985-01-01,9.26939651771984
1985-04-01,8.93525081692807
1985-07-01,8.39237238210835
1985-10-01,7.81196770057154
1986-01-01,7.40701991886172
1986-04-01,7.19285116008016
1986-07-01,6.96891710545
1986-10-01,6.9255942188429
1987-01-01,6.50850546197359
1987-04-01,6.30033887050253
1987-07-01,6.4326779271443
1987-10-01,6.11950191187921
1988-01-01,5.98867315079224
1988-04-01,5.95930133749474
1988-07-01,6.41946893691973
1988-10-01,6.14759604887302
1989-01-01,6.3189262643127
1989-04-01,6.54506004687097
1989-07-01,6.53369082963059
1989-10-01,6.38722913611035
1990-01-01,6.14951364720226
1990-04-01,6.08670157555556
1990-07-01,5.83031261432978
1990-10-01,5.60694917844675
1991-01-01,5.68360333443333
1991-04-01,6.22934901743375
1991-07-01,6.32765852983368
1991-10-01,5.94124745090664
1992-01-01,5.88077591408636
1992-04-01,5.82797598005877
1992-07-01,5.34813466474619
1992-10-01,6.2352121454303
1993-01-01,7.51251086319276
1993-04-01,7.40396530030877
1993-07-01,8.0098469690303
1993-10-01,8.21543488428571
1994-01-01,8.00938914133458
1994-04-01,7.8041837561504
1994-07-01,7.67618108331185
1994-10-01,7.37306348861905
1995-01-01,7.37434707182429
1995-04-01,7.29622169195979
1995-07-01,7.18302007379986
1995-10-01,6.68088605294657
1996-01-01,6.78111554680014
1996-04-01,6.73239265210079
1996-07-01,6.63449451679742
1996-10-01,6.68031487232574
1997-01-01,7.3671647979798
1997-04-01,7.69826182539683
1997-07-01,7.83317954451346
1997-10-01,7.63986118611747
1998-01-01,8.02381730158731
1998-04-01,7.80546803030303
1998-07-01,7.99627865298952
1998-10-01,7.96274877344878
1999-01-01,7.99392224637681
1999-04-01,8.42167994227994
1999-07-01,8.30553270784199
1999-10-01,8.32823872409524
2000-01-01,8.59993773822802
2000-04-01,8.85323801335152
2000-07-01,9.30132159354048
2000-10-01,9.88787566569934
2001-01-01,9.75472928618638
2001-04-01,10.4440567048126
2001-07-01,10.565751663392
2001-10-01,10.5889695042285
2002-01-01,10.4460703802857
2002-04-01,9.95964252323293
2002-07-01,9.38221244464314
2002-10-01,9.09624159166986
2003-01-01,8.5539308370676
2003-04-01,8.04793852464647
2003-07-01,8.14163765611409
2003-10-01,7.56938526063654
2004-01-01,7.34946306611132
2004-04-01,7.59095964394517
2004-07-01,7.49042126513636
2004-10-01,6.95313946738023
2005-01-01,6.92766778869286
2005-04-01,7.31984219443001
2005-07-01,7.6790865305974
2005-10-01,7.96888770305195
2006-01-01,7.77200262909717
2006-04-01,7.39745826729618
2006-07-01,7.24306740852174
2006-10-01,7.0807003221912
2007-01-01,7.00754884681087
2007-04-01,6.86882127753899
